glytoucan_ac,pubchem_cid
G02470WS,91860067
G02471GW,91849679
G02474FD,91851621
G02483WT,91848235
G02522JF,91860936
G02533LL,91854800
G02534MS,91858631
G02536WY,156618885
G02539TH,146017728
G02541EM,91860664
G02551AG,129320910
G02557XE,168356819
G02562EQ,91861616
G02568AU,91860762
G02577WH,91847891
G02582JY,91855950
G02594WS,51351681
G02595UE,146016221
G02622IU,91853014
G02633ON,91857185
G02646YL,91847128
G02657AK,45266844
G02657BS,91859035
G02660IC,91845980
G02660UC,91846896
G02660WC,91857379
G02670IJ,168356849
G02679YX,91848434
G02684WR,195235
G02686MD,156614525
G02698RR,91846838
G02704IM,101080448
G02710ET,53239705
G02729OV,56955905
G02747VH,57339202
G02752WS,146015867
G02753DE,9967861
G02760XH,91857480
G02763QD,91858454
G02786XX,91852690
G02799CL,71298438
G02816CI,21627868
G02826HN,91856665
G02837JA,91845906
G02839BL,10309643
G02840MF,440339
G02841FS,131122
G02844SX,71298420
G02854AM,4390797
G02856QE,146017377
G02873KW,146015712
G02878SQ,91859497
G02880JU,10221550
G02885MK,91855565
G02891BL,122198228
G02910YE,91859860
G02913GI,129320909
G02915XR,71297478
G02934UB,91861770
G02942YF,156615081
G02945KQ,71297780
G02967YO,146017513
G02990AF,156619289
G02998EX,10973189
G03003KR,91860336
G03004PD,91858425
G03005MJ,146016307
G03006JP,45266782
G03015NB,91855833
G03016BW,91857068
G03019FG,156614935
G03021WA,91847852
G03032GA,53262324
G03041YP,101194539
G03044ED,70698370
G03049NB,91846961
G03052ZR,71298277
G03053IU,91853859
G03054QW,91857950
G03057GB,102051929
G03065ZA,91852517
G03067VG,91847190
G03074ZG,74539962
G03075ZE,91849173
G03081TH,91862577
G03085SQ,91845630
G03087RG,50991540
G03091JM,91849865
G03091JW,146015696
G03096YC,171121948
G03098CZ,91849957
G03106MF,91846767
G03116ET,439606
G03140AX,91860374
G03144EF,6027
G03164NE,91851871
G03168RN,91852867
G03172PR,146017235
G03177HU,91861649
G03187SZ,91860269
G03198VN,171933337
G03200OR,156619286
G03203II,146017984
G03207XQ,71297995
G03216SJ,91857420
G03228NK,70680313
G03230AX,91852136
G03247RO,91855038
G03248AU,91850275
G03250GT,71297498
G03250UN,91851219
G03260OU,91859006
G03266UM,91857163
G03272YQ,91857659
G03275SD,146016277
G03277UZ,91852147
G03277YI,91850212
G03286CY,90659856
G03294VW,156616798
G03296OS,91857597
G03304QB,91847785
G03309JT,91860095
G03313QW,91851256
G03316TJ,91861578
G03317ST,156615905
G03319HQ,168356989
G03321AC,91858436
G03324AT,91859334
G03332JB,91858169
G03333ZM,91854396
G03340FG,156614519
G03345AP,91845297
G03347EL,156614816
G03350SF,156615756
G03361KC,91847031
G03362PH,91854684
G03368AU,91846210
G03385XG,91853560
G03389ET,91850812
G03404VQ,91853467
G03407PG,70422664
G03412UM,146015569
G03414KZ,71297846
G03425VF,91846599
G03431NA,91851336
G03438WE,146017472
G03439PY,91852923
G03443JC,91846061
G03445UI,91849008
G03457IA,91852385
G03473OX,156616508
G03473UD,156614317
G03480UY,91857355
G03487PR,101334156
G03491PJ,77908822
G03494YC,156614398
G03499BP,440511
G03505EQ,146015707
G03506YN,91849078
G03509EL,91846992
G03510LN,91852612
G03529DJ,91859811
G03542LT,91846364
G03542TR,91861571
G03549QM,156614438
G03550OO,156615924
G03564IA,91848556
G03572II,91862907
G03574EH,156614872
G03591CN,91849986
G03595ET,91849068
G03600YM,91850118
G03605AV,91857506
G03605BS,91848985
G03606VC,146016786
G03629LR,91847853
G03637TP,91851622
G03644PT,91857701
G03649KR,71298182
G03652TR,71297616
G03652XH,91855210
G03654ML,71297469
G03663BL,156615721
G03670RH,146017899
G03674DI,91847677
G03674DU,146017727
G03676EV,91858152
G03681UF,71297594
G03708WQ,168357067
G03714XC,156615903
G03723FD,91845717
G03723SL,14605946
G03727RK,91858044
G03728KZ,91848604
G03739GM,91862055
G03740OH,71297672
G03750RD,71297944
G03754YM,146017606
G03756VW,9908032
G03764XL,91852337
G03766GQ,91852226
G03767RW,91853214
G03770HX,70698331
G03770XP,146016540
G03775QG,156618579
G03777BI,91852813
G03787SM,156618686
G03789VH,91856726
G03789YN,171121985
G03792OA,91861890
G03796EF,91857237
G03805HR,156614444
G03807QJ,168357092
G03818JD,91851791
G03819IX,71298371
G03819NU,77908730
G03819SO,91861928
G03820FM,71297619
G03825XC,91846582
G03827BO,146017327
G03834RX,71297441
G03839MN,11348405
G03847RK,146015456
G03851WA,71297447
G03861VK,21572948
G03862KK,3080780
G03864MI,156616080
G03877AD,146017146
G03889QT,91854152
G03895SR,146017365
G03900NK,156614726
G03907HM,168357119
G03909YF,91847513
G03916DL,71298192
G03919ED,91861612
G03934EZ,91850205
G03934XO,91851033
G03948VT,91858284
G03951JJ,91851060
G03951MJ,71297374
G03962UN,156616470
G03974HM,156616242
G03975EI,91854973
G03986GH,91855791
G03989SP,71298494
G03990GS,53239755
G04004CH,171121995
G04012SM,9907226
G04014FP,71298346
G04014NS,91846112
G04015AP,156617668
G04018GO,91860375
G04019SU,156614469
G04023GJ,91851984
G04045FF,229
G04048YA,91851816
G04062VI,156616111
G04074KJ,71298229
G04078TP,91851779
G04079QB,171933338
G04089RG,91847402
G04091CN,91850219
G04099VY,91846951
G04100NF,91845821
G04109RU,71297637
G04114CX,91846313
G04118VH,146017819
G04149MH,91854467
G04151YX,168357172
G04156GK,91845525
G04163JP,91854755
G04165AB,91849007
G04165ZA,91859460
G04185VX,156617495
G04187IN,70678959
G04189PE,91858450
G04210UW,91856466
G04214MY,156615044
G04216GB,91852679
G04220HB,91853179
G04221EG,131752481
G04236PS,91861136
G04261UG,91858449
G04267XF,91862831
G04273XP,91858862
G04289KQ,146016546
G04302CX,156615027
G04315YS,10213173
G04324CR,156617834
G04357GL,91856350
G04362GU,156618437
G04366GF,46916404
G04368OY,91849511
G04377UX,124708486
G04381AZ,156615780
G04400QM,71298352
G04410EE,91850136
G04414GO,91856727
G04416BG,146017033
G04421LE,91858064
G04423CA,91855278
G04428BJ,146017888
G04433GV,146016689
G04445AU,168357232
G04445KN,71297514
G04448SF,91851517
G04450CG,91860131
G04451KB,16218894
G04451KI,168357234
G04462ZS,91857810
G04467BX,156614786
G04472SL,91860963
G04478DK,91852572
G04478QP,5229059
G04483QG,91855753
G04483SK,91846231
G04497XO,70678669
G04498KT,171122020
G04506QE,171122021
G04512BK,91854996
G04522MB,91860763
G04522ZB,156615898
G04527KW,91847774
G04531NI,171122023
G04535LS,91846742
G04543MP,168357252
G04544OS,91862775
G04550QS,146015777
G04554QW,91858497
G04554UL,156615104
G04557PM,146017863
G04560DZ,101258508
G04562GJ,156618725
G04563PI,146016771
G04564SK,146016542
G04570XN,168357257
G04576KS,91847307
G04580RT,168357263
G04585VW,71298189
G04595LN,91859767
G04598XU,91861583
G04604GA,91854472
G04608YG,146016794
G04616ST,440994
G04617VG,98117296
G04618ND,91849079
G04622LK,91856446
G04624DG,70678938
G04630LB,91862393
G04638IX,71298155
G04656HH,91848783
G04658QB,156618159
G04662JQ,91850867
G04670CJ,91858568
G04675YX,168357284
G04681PT,91860764
G04705FR,91855672
G04712IG,171122034
G04715SK,91850884
G04719BG,71297977
G04720OD,146016969
G04728IN,171122035
G04734LP,91858801
G04737UA,171122036
G04742WT,156616414
G04743RS,146016537
G04744XB,91853754
G04751OE,91851096
G04751SB,91861434
G04764ON,146015423
G04765GH,91861926
G04767HS,91845729
G04774ZB,91856782
G04779EY,91860458
G04783EJ,91851638
G04791QM,70788976
G04791YX,91853644
G04792UK,91844954
G04817LD,91847629
G04820ZT,71297590
G04829KA,91850069
G04836KE,91848470
G04842IW,146017264
G04854NQ,91856860
G04866JA,156616243
G04893EC,146016142
G04903PZ,91862461
G04908IA,146015731
G04910RR,91854093
G04917SF,146015708
G04918QS,156614842
G04921DS,171933341
G04923KK,168357326
G04934AE,168357330
G04937DD,91858065
G04941HM,91855548
G04941YC,51351805
G04960UI,10888078
G04964UA,91848784
G04970RV,168357338
G04974JU,168357339
G04983EU,91858106
G04984FA,91862766
G04987NY,91851577
G04989WY,91846647
G05005QI,11134575
G05014UV,91856747
G05026ZL,446943
G05031SD,50909843
G05039OK,57661340
G05057XI,91848758
G05060ST,91858490
G05062GT,168357359
G05068FP,91846933
G05068SF,455149
G05096LE,91862604
G05102JZ,91855574
G05106AU,156614976
G05107KY,146017512
G05108UT,71297363
G05128BK,71298441
G05133PK,13783679
G05136BT,91861765
G05143WC,156614432
G05148UV,156614407
G05151WT,146015410
G05152XR,91849454
G05153MO,91861804
G05161OY,146016756
G05180BW,91858310
G05181BG,91845979
G05184IQ,91853789
G05187DJ,91861270
G05188BU,71297941
G05189JQ,91847008
G05189YS,91859396
G05195BC,91849311
G05208JP,171122056
G05212BT,91856233
G05216VK,91857140
G05234GO,91847930
G05234QD,71298196
G05235KE,91860350
G05252IE,91847736
G05252QE,156619277
G05252XR,91825570
G05253EZ,91847732
G05254OQ,91855793
G05260RH,91856817
G05278AK,91848755
G05278GV,156617833
G05285GQ,168357403
G05286IK,71296192
G05297EK,91851424
G05297UU,91855263
G05302MX,139747619
G05303BZ,156615132
G05303EM,168357407
G05304LG,78052743
G05307LM,146015726
G05309HX,171122067
G05315FT,91852601
G05319BS,71297532
G05324AQ,91862299
G05337KJ,91847783
G05353EZ,91861255
G05357CB,91859163
G05368PM,156615030
G05372US,10484933
G05374TU,91856459
G05378UG,91850731
G05384WR,91851983
G05390PH,91854074
G05400IQ,91854559
G05402FG,91848245
G05404QM,101258515
G05410WY,91852274
G05421OW,146017918
G05423BC,91855483
G05428SU,91845326
G05441GN,91861409
G05456PR,171122077
G05463IO,10164192
G05478GN,71297813
G05484KA,91856999
G05546WG,91862202
G05552HC,91854899
G05561CF,91856440
G05561HT,91851754
G05562XX,91850767
G05562YT,92136202
G05564UH,156618777
G05570RS,91856329
G05581UW,91845471
G05600OX,91851346
G05611SB,91857545
G05615BG,91847929
G05644LC,91857437
G05654CV,71298049
G05665LK,91859683
G05671AC,91849671
G05674CR,91848625
G05675LB,146017200
G05686QK,156618417
G05690OR,146016634
G05698FC,156614425
G05704WW,5288421
G05708IP,168357477
G05724WC,25069113
G05756YF,91852951
G05767GS,91853492
G05768VS,91848679
G05769VV,91849965
G05784LD,91852918
G05784QE,91856636
G05785JJ,146016543
G05789UB,68413875
G05793ZC,91851538
G05794RZ,91860893
G05796CH,91854321
G05801RW,156614652
G05803KC,91853079
G05808PZ,146017507
G05809DB,92132295
G05811XG,91846602
G05826JL,156619208
G05829TG,91854545
G05835TV,91860804
G05840XL,91852275
G05848DX,91861361
G05855AL,91850049
G05890XZ,71297373
G05892GB,91862214
G05908GN,70678663
G05919HM,156614605
G05921XS,24744750
G05929XL,156619316
G05948HK,71297673
G05952XV,91853592
G05961BM,171122108
G05964BT,91860468
G05976VO,91860863
G05979QC,91858612
G05979RR,71297931
G05979UI,146016067
G06000DZ,133474
G06007BJ,156617670
G06017WG,91851993
G06022SA,91855132
G06028TI,91851489
G06031DD,91854631
G06032HI,156614335
G06036CF,91852793
G06041BR,168357548
G06042VA,71297424
G06045NB,197522
G06055JA,91859310
G06059DJ,91860167
G06067KZ,71297651
G06067PC,146017360
G06075UK,156614557
G06087PM,91856787
G06092HK,171122115
G06097MI,91853433
G06100IY,91860166
G06107FU,10260882
G06127GK,101669159
G06131VP,91861852
G06141RV,91857662
